PCON25CD,PCON25NM,Raw Truth,Truth,Housing - Raw Prediction,Housing - Prediction,EEO - Raw Prediction,EEO - Prediction,SPIRH - Raw Prediction,SPIRH - Prediction,NatPop - Raw Prediction,NatPop - Prediction,Consolidated Prediction,Consolidated Raw Prediction
E14001064,Aldridge-Brownhills,1,Con,1,Con,1,Con,1,Con,1,Con,Con,1
E14001067,Arundel and South Downs,1,Con,1,Con,1,Con,1,Con,1,Con,Con,1
E14001070,Ashton-under-Lyne,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001071,Aylesbury,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001072,Banbury,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001089,Bexleyheath and Crayford,0,Lab,2,LD,0,Lab,2,LD,0,Lab,LD,2
E14001090,Bicester and Woodstock,2,LD,2,LD,2,LD,2,LD,2,LD,LD,2
E14001099,Birmingham Selly Oak,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001114,Boston and Skegness,4,RUK,4,RUK,4,RUK,4,RUK,4,RUK,RUK,4
W07000086,Bridgend,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001127,Bridlington and The Wolds,1,Con,1,Con,1,Con,1,Con,1,Con,Con,1
E14001129,Brighton Kemptown and Peacehaven,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001130,Brighton Pavilion,3,Green,3,Green,3,Green,3,Green,3,Green,Green,3
E14001132,Bristol East,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001133,Bristol North East,0,Lab,0,Lab,0,Lab,1,Con,5,PC,Lab,0
E14001134,Bristol North West,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001135,Bristol South,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001136,Broadland and Fakenham,1,Con,1,Con,1,Con,1,Con,1,Con,Con,1
E14001138,Bromsgrove,1,Con,1,Con,1,Con,1,Con,1,Con,Con,1
E14001139,Broxbourne,1,Con,1,Con,1,Con,1,Con,1,Con,Con,1
E14001140,Broxtowe,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001141,Buckingham and Bletchley,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001143,Burton and Uttoxeter,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
W07000087,Caerfyrddin,5,PC,5,PC,5,PC,5,PC,5,PC,PC,5
E14001152,Carlisle,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001155,Central Devon,1,Con,1,Con,1,Con,1,Con,1,Con,Con,1
E14001159,Chelmsford,2,LD,2,LD,2,LD,2,LD,2,LD,LD,2
E14001160,Chelsea and Fulham,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001168,Chippenham,2,LD,2,LD,2,LD,2,LD,2,LD,LD,2
E14001180,Coventry East,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001181,Coventry North West,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001189,Dagenham and Rainham,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001194,Derby South,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001197,Didcot and Wantage,2,LD,2,LD,2,LD,2,LD,2,LD,LD,2
E14001202,Dover and Deal,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001204,Dudley,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001211,Easington,0,Lab,1,Con,1,Con,1,Con,0,Lab,Con,1
E14001213,East Ham,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001215,East Surrey,1,Con,1,Con,1,Con,1,Con,1,Con,Con,1
E14001224,Ely and East Cambridgeshire,2,LD,2,LD,2,LD,2,LD,2,LD,LD,2
E14001232,Exmouth and Exeter East,1,Con,1,Con,1,Con,1,Con,1,Con,Con,1
E14001236,Feltham and Heston,0,Lab,2,LD,1,Con,2,LD,1,Con,Con,1
E14001240,Forest of Dean,0,Lab,0,Lab,0,Lab,0,Lab,0,Lab,Lab,0
E14001243,Gainsborough,1,Con,1,Con,1,Con,1,Con,1,Con,Con,1
E14001247,Glastonbury and Somerton,2,LD,2,LD,2,LD,2,LD,2,LD,LD,2
